TYPE,TIMESTAMP_NS,SYMBOL,PRICE,SIZE,BID_PRICE,BID_SIZE,ASK_PRICE,ASK_SIZE
QUOTE,1672583400262892188,SYNTH,,,99.99,4060,100.01,6800
QUOTE,1672583400329333056,SYNTH,,,99.99,2460,100.01,7510
TRADE,1672583400764029073,SYNTH,100.01,31,,,,
QUOTE,1672583400978019349,SYNTH,,,99.98,4700,100.0,4680
QUOTE,1672583401190511750,SYNTH,,,99.97,3250,99.99,9170
QUOTE,1672583401424538743,SYNTH,,,99.98,9920,100.0,9270
QUOTE,1672583401835757033,SYNTH,,,99.99,3310,100.01,5830
TRADE,1672583402195978705,SYNTH,100.01,126,,,,
QUOTE,1672583402565920251,SYNTH,,,99.97,1090,99.99,4780
TRADE,1672583403021455773,SYNTH,99.97,189,,,,
TRADE,1672583403504907862,SYNTH,99.99,127,,,,
TRADE,1672583403632162814,SYNTH,99.99,23,,,,
TRADE,1672583403990804120,SYNTH,99.99,18,,,,
QUOTE,1672583404021063879,SYNTH,,,99.95,4110,99.97,2010
QUOTE,1672583404511935010,SYNTH,,,99.95,4770,99.97,7790
TRADE,1672583404921906897,SYNTH,99.97,86,,,,
TRADE,1672583405136795621,SYNTH,99.95,61,,,,
QUOTE,1672583405597131771,SYNTH,,,99.95,4500,99.97,4930
QUOTE,1672583405834347111,SYNTH,,,99.94,3040,99.96,8170
QUOTE,1672583406020700402,SYNTH,,,99.95,1800,99.97,8550
QUOTE,1672583406516989648,SYNTH,,,99.95,4300,99.97,6610
QUOTE,1672583406536257442,SYNTH,,,99.95,5050,99.97,8280
QUOTE,1672583406564259923,SYNTH,,,99.96,4520,99.98,7290
QUOTE,1672583407016726655,SYNTH,,,99.96,6760,99.98,3040
TRADE,1672583407155007361,SYNTH,99.96,34,,,,
QUOTE,1672583407577554917,SYNTH,,,99.95,4410,99.97,1830
QUOTE,1672583407871525865,SYNTH,,,99.94,6930,99.96,7310
TRADE,1672583408111459636,SYNTH,99.94,170,,,,
QUOTE,1672583408213446861,SYNTH,,,99.94,4740,99.96,3330
TRADE,1672583408280305623,SYNTH,99.94,152,,,,
QUOTE,1672583408391513816,SYNTH,,,99.96,9700,99.98,8040
QUOTE,1672583408657966451,SYNTH,,,99.95,4560,99.97,5000
QUOTE,1672583408724351655,SYNTH,,,99.96,8760,99.98,3730
QUOTE,1672583409150435413,SYNTH,,,99.97,6030,99.99,1160
QUOTE,1672583409167867137,SYNTH,,,99.97,4750,99.99,9220
QUOTE,1672583409367213888,SYNTH,,,99.98,2840,100.0,3380
TRADE,1672583409459551034,SYNTH,99.98,55,,,,
QUOTE,1672583409886311638,SYNTH,,,99.97,7380,99.99,4470
QUOTE,1672583410177476811,SYNTH,,,99.96,9260,99.98,7070
QUOTE,1672583410274070639,SYNTH,,,99.97,2340,99.99,6310
TRADE,1672583410593722202,SYNTH,99.99,186,,,,
QUOTE,1672583410974196386,SYNTH,,,99.95,6960,99.97,9180
QUOTE,1672583411041798576,SYNTH,,,99.95,2980,99.97,1850
QUOTE,1672583411080467505,SYNTH,,,99.95,1460,99.97,5210
QUOTE,1672583411106248979,SYNTH,,,99.95,8100,99.97,2230
TRADE,1672583411224604095,SYNTH,99.95,47,,,,
QUOTE,1672583411489345369,SYNTH,,,99.95,2680,99.97,7930
QUOTE,1672583411573844205,SYNTH,,,99.95,4300,99.97,2440
TRADE,1672583412063630058,SYNTH,99.95,112,,,,
QUOTE,1672583412395890492,SYNTH,,,99.95,2360,99.97,8970
TRADE,1672583412462537510,SYNTH,99.97,193,,,,
QUOTE,1672583412731783580,SYNTH,,,99.94,6140,99.96,2430
QUOTE,1672583412757134665,SYNTH,,,99.93,9620,99.95,5880
QUOTE,1672583413230745178,SYNTH,,,99.94,3910,99.96,3320
TRADE,1672583413533875019,SYNTH,99.96,144,,,,
QUOTE,1672583413712128519,SYNTH,,,99.95,6790,99.97,7270
QUOTE,1672583413977225733,SYNTH,,,99.96,6700,99.98,6210
QUOTE,1672583414382960918,SYNTH,,,99.96,6040,99.98,3770
QUOTE,1672583414871693332,SYNTH,,,99.95,2520,99.97,3750
QUOTE,1672583415085520284,SYNTH,,,99.95,3200,99.97,8470
QUOTE,1672583415313820310,SYNTH,,,99.95,8930,99.97,1680
QUOTE,1672583415796016810,SYNTH,,,99.94,4690,99.96,9640
QUOTE,1672583415860135145,SYNTH,,,99.94,6390,99.96,1910
QUOTE,1672583416241602604,SYNTH,,,99.93,9410,99.95,2080
QUOTE,1672583416529226592,SYNTH,,,99.94,8500,99.96,8770
QUOTE,1672583416708473157,SYNTH,,,99.93,5270,99.95,8430
QUOTE,1672583417117829056,SYNTH,,,99.94,5390,99.96,4220
QUOTE,1672583417594729264,SYNTH,,,99.95,4690,99.97,9500
